"External ID","Display Name"
"__export__.product_category_747","Industrias Donsson / Filtros / Local / Aire / Lualme Aire Cuadrado"
"__export__.product_category_748","Industrias Donsson / Filtros / Local / Aire / Lualme Aire Redondo"
"__export__.product_category_751","Industrias Donsson / Filtros / Local / Aire / Master Aire Elemento Axial"
"__export__.product_category_752","Industrias Donsson / Filtros / Local / Aire / Master Aire Redondo"
"__export__.product_category_905","Industrias Donsson / Filtros / Local / Aire / Motovalle Aire Cuadrado"
"__export__.product_category_778","Industrias Donsson / Filtros / Local / Aire / Niponautos Aire Redondo"
"__export__.product_category_776","Industrias Donsson / Filtros / Local / Aire / Niponautos Aire Cuadrado"
"__export__.product_category_777","Industrias Donsson / Filtros / Local / Aire / Niponautos Aire Elemento Radial"
"__export__.product_category_823","Industrias Donsson / Filtros / Local / Aire / Occidental Aire Cuadrado"
"__export__.product_category_824","Industrias Donsson / Filtros / Local / Aire / Occidental Aire Redondo"
"__export__.product_category_895","Industrias Donsson / Filtros / Local / Aire / Otros Aire Cuadrado"
"__export__.product_category_896","Industrias Donsson / Filtros / Local / Aire / Otros Aire Elemento Axial"
"__export__.product_category_897","Industrias Donsson / Filtros / Local / Aire / Otros Aire Elemento Radial"
"__export__.product_category_898","Industrias Donsson / Filtros / Local / Aire / Otros Aire Redondo"
"__export__.product_category_783","Industrias Donsson / Filtros / Local / Aire / Premium Aire Cuadrado"
"__export__.product_category_784","Industrias Donsson / Filtros / Local / Aire / Premium Aire Elemento Radial"
"__export__.product_category_785","Industrias Donsson / Filtros / Local / Aire / Premium Aire Redondo"
"__export__.product_category_804","Industrias Donsson / Filtros / Local / Aire / Propartes Aire Cuadrado"
"__export__.product_category_805","Industrias Donsson / Filtros / Local / Aire / Propartes Aire Redondo"
"__export__.product_category_948","Industrias Donsson / Filtros / Local / Aire / Socorepuestos Aire Redondo"
"__export__.product_category_927","Industrias Donsson / Filtros / Local / Aire / Stewart Aire Canal de Flujo"
"__export__.product_category_1043","Industrias Donsson / Filtros / Local / Aire / Stewart Aire Elemento Radial"
"__export__.product_category_815","Industrias Donsson / Filtros / Local / Aire / Superfilt Aire Cuadrado"
"__export__.product_category_816","Industrias Donsson / Filtros / Local / Aire / Superfilt Aire Elemento Axial"
"__export__.product_category_817","Industrias Donsson / Filtros / Local / Aire / Superfilt Aire Elemento Radial"
"__export__.product_category_818","Industrias Donsson / Filtros / Local / Aire / Superfilt Aire Redondo"
"__export__.product_category_1096","Industrias Donsson / Filtros / Local / Aire / Swisslub Aire Cuadrado"
"__export__.product_category_928","Industrias Donsson / Filtros / Local / Aire / Tecneco Aire Cuadrado"
"__export__.product_category_832","Industrias Donsson / Filtros / Local / Aire / Tecnifil Aire Cuadrado"
"__export__.product_category_833","Industrias Donsson / Filtros / Local / Aire / Tecnifil Aire Redondo"
"__export__.product_category_939","Industrias Donsson / Filtros / Local / Aire / Texim Aire Cuadrado"
"__export__.product_category_1033","Industrias Donsson / Filtros / Local / Aire / Texim Aire Cuadrado"
"__export__.product_category_1037","Industrias Donsson / Filtros / Local / Aire / Texim Aire Redondo"
"__export__.product_category_763","Industrias Donsson / Filtros / Local / Aire / Zarofil Aire Redondo"
"__export__.product_category_753","Industrias Donsson / Filtros / Local / Combustible"
"__export__.product_category_1001_1","Industrias Donsson / Filtros / Local / Combustible / Franig Combustible Elemento"
"__export__.product_category_1126","Industrias Donsson / Filtros / Local / Combustible / Auto Belt Combustible Sellado"
"__export__.product_category_937","Industrias Donsson / Filtros / Local / Combustible / Avante Combustible Otros"
"__export__.product_category_935","Industrias Donsson / Filtros / Local / Combustible / Avante Combustible Sellado"
"__export__.product_category_951","Industrias Donsson / Filtros / Local / Combustible / Cummins Combustible Otros"
"__export__.product_category_950","Industrias Donsson / Filtros / Local / Combustible / Cummins Combustible Sellado"
"__export__.product_category_918","Industrias Donsson / Filtros / Local / Combustible / Diesel y Turbo Combustible Elemento"
"__export__.product_category_1134","Industrias Donsson / Filtros / Local / Combustible / Dinissan combustible sellado"
"__export__.product_category_799","Industrias Donsson / Filtros / Local / Combustible / Esp Combustible Elemento"
"__export__.product_category_800","Industrias Donsson / Filtros / Local / Combustible / Esp Combustible Otros"
"__export__.product_category_801","Industrias Donsson / Filtros / Local / Combustible / Esp Combustible Sellado"
"__export__.product_category_910","Industrias Donsson / Filtros / Local / Combustible / Filcenter Combustible Elemento"
"__export__.product_category_924_1","Industrias Donsson / Filtros / Local / Combustible / Filcenter Combustible Elemento"
"__export__.product_category_903","Industrias Donsson / Filtros / Local / Combustible / Franig Combustible Sellado"
"__export__.product_category_932","Industrias Donsson / Filtros / Local / Combustible / Gecolsa Combustible Sellado"
"__export__.product_category_880","Industrias Donsson / Filtros / Local / Combustible / Gforce Combustible Elemento"
"__export__.product_category_879","Industrias Donsson / Filtros / Local / Combustible / Gforce Combustible Sellado"
"__export__.product_category_759","Industrias Donsson / Filtros / Local / Combustible / Icofil Combustible Sellado"
"__export__.product_category_919","Industrias Donsson / Filtros / Local / Combustible / Interdiesel Combustible Elemento"
"__export__.product_category_920","Industrias Donsson / Filtros / Local / Combustible / Interdiesel Combustible Otros"
"__export__.product_category_771","Industrias Donsson / Filtros / Local / Combustible / Interfil Combustible Elemento"
"__export__.product_category_772","Industrias Donsson / Filtros / Local / Combustible / Interfil Combustible Sellado"
"__export__.product_category_944","Industrias Donsson / Filtros / Local / Combustible / Itec Combustible Otros"
"__export__.product_category_945","Industrias Donsson / Filtros / Local / Combustible / Itec Combustible Sellado"
"__export__.product_category_942","Industrias Donsson / Filtros / Local / Combustible / Ivor Combustible Elemento"
"__export__.product_category_954","Industrias Donsson / Filtros / Local / Combustible / Lualme Combustible Elemento"
"__export__.product_category_947","Industrias Donsson / Filtros / Local / Combustible / Macrofiltracion Combustible Elemento"
"__export__.product_category_754","Industrias Donsson / Filtros / Local / Combustible / Master Combustible Sellado"
"__export__.product_category_940","Industrias Donsson / Filtros / Local / Combustible / Montecarlo Combustible Elemento"
"__export__.product_category_906","Industrias Donsson / Filtros / Local / Combustible / Motovalle Combustible Elemento"
"__export__.product_category_779","Industrias Donsson / Filtros / Local / Combustible / Niponauto Combustible Elemento"
"__export__.product_category_780","Industrias Donsson / Filtros / Local / Combustible / Niponautos Combustible Sellado"
"__export__.product_category_825","Industrias Donsson / Filtros / Local / Combustible / Occidental Combustible Elemento"
"__export__.product_category_899","Industrias Donsson / Filtros / Local / Combustible / Otros Combustible"
"__export__.product_category_900","Industrias Donsson / Filtros / Local / Combustible / Otros Combustible Elemento"
"__export__.product_category_786","Industrias Donsson / Filtros / Local / Combustible / Premium Combustible Elemento"
"__export__.product_category_787","Industrias Donsson / Filtros / Local / Combustible / Premium Combustible Otros"
"__export__.product_category_788","Industrias Donsson / Filtros / Local / Combustible / Premium Combustible Sellado"
"__export__.product_category_806","Industrias Donsson / Filtros / Local / Combustible / Propartes Combustible Elemento"
"__export__.product_category_807","Industrias Donsson / Filtros / Local / Combustible / Propartes Combustible Sellado"
"__export__.product_category_1113","Industrias Donsson / Filtros / Local / Combustible / Rativa Combustible Sellado"
"__export__.product_category_949","Industrias Donsson / Filtros / Local / Combustible / Socorepuestos Combustible Sellado"
"__export__.product_category_819","Industrias Donsson / Filtros / Local / Combustible / Superfil Combustible Elemento "
"__export__.product_category_1128","Industrias Donsson / Filtros / Local / Combustible / Swisslub Combustible Elemento"
"__export__.product_category_1129","Industrias Donsson / Filtros / Local / Combustible / Swisslub Combustible Sellado"
"__export__.product_category_930","Industrias Donsson / Filtros / Local / Combustible / Tecneco Combustible Sellado"
"__export__.product_category_834","Industrias Donsson / Filtros / Local / Combustible / Tecnifil Combustible Elemento"
"__export__.product_category_1034","Industrias Donsson / Filtros / Local / Combustible / Texim Combustible Elemento"
"__export__.product_category_764","Industrias Donsson / Filtros / Local / Combustible / Zarofil Combustible Elemento"
"__export__.product_category_1110","Industrias Donsson / Filtros / Local / Enfriamiento"
"__export__.product_category_1111","Industrias Donsson / Filtros / Local / Enfriamiento / Cummins Enfriamiento Sellado"
"__export__.product_category_773","Industrias Donsson / Filtros / Local / Enfriamiento"
"__export__.product_category_774","Industrias Donsson / Filtros / Local / Enfriamiento / Interfil Enfriamiento Sellado"
"__export__.product_category_765","Industrias Donsson / Filtros / Local / Hidráulico "
"__export__.product_category_938","Industrias Donsson / Filtros / Local / Hidráulico  / Avante Hidráulico Elemento"
"__export__.product_category_952","Industrias Donsson / Filtros / Local / Hidráulico  / Cummins Hidráulico Elemento"
"__export__.product_category_931","Industrias Donsson / Filtros / Local / Hidráulico  / Gecolsa Hidráulico Elemento"
"__export__.product_category_1059","Industrias Donsson / Filtros / Local / Hidráulico  / ITECO HIDRAULICO ELEMENTO"
"__export__.product_category_901","Industrias Donsson / Filtros / Local / Hidráulico  / Otros Hidráulico Elemento"
"__export__.product_category_820","Industrias Donsson / Filtros / Local / Hidráulico  / Superfilt Hidráulico Elemento "
"__export__.product_category_835","Industrias Donsson / Filtros / Local / Hidráulico  / Tecnifil Hidráulico Elemento "
"__export__.product_category_766","Industrias Donsson / Filtros / Local / Hidráulico  / Zarofil Hidráulico Elemento "
"__export__.product_category_1072","Industrias Donsson / Filtros / Oblan"
"__export__.product_category_1073","Industrias Donsson / Filtros / Oblan / Importado"
"__export__.product_category_1074","Industrias Donsson / Filtros / Oblan / Importado / Aire"
"__export__.product_category_808","Industrias Donsson / Filtros / Oblan / Importado / Aire / Oblan Carcasa"
"__export__.product_category_809","Industrias Donsson / Filtros / Oblan / Importado / Aire / Oblan Otros"
"__export__.product_category_810","Industrias Donsson / Filtros / Oblan / Importado / Aire / Oblan Prefiltros"
