product_name;producto_code;Suma de stock_actual;Suma de inventario_ideal;sucursal_nombre;clasificacion;Suma de valor_stock_actual;Suma de valor_stock_ideal;categoria_producto
DLS00117189;189 GS117;9;1;CALI;C;87479.82;9719.98;Filtro
BCE00757125;125 BF7912;8;0;CALI;C;687805.92;0;Filtro
BCE00919125;125 BF9915;8;1;CALI;C;250097.76;31262.22;Filtro
BCE01013125;125 PF46003;8;0;CALI;C;1030808;0;Filtro
BCE10256125;125 201W;8;1;CALI;C;278017.28;34752.16;Filtro
BCS00481125;125 BF1272SPS;8;1;CALI;C;626395.12;78299.39;Filtro
BCS00531125;125 BF9894;8;1;CALI;C;295370.56;36921.32;Filtro
BCS10061125;125 BF7772;8;1;CALI;C;257480.96;32185.12;Filtro
BCS10076125;125 BF330;8;1;CALI;C;185243.36;23155.42;Filtro
BHS00454125;125 BT9367MPG;8;1;CALI;C;974528.4;121816.05;Filtro
BHS10073125;125 BT8309MPG;8;2;CALI;C;783950.72;195987.68;Filtro
BLS00002125;125 B6;8;1;CALI;C;128876.88;16109.61;Filtro
BLS00160125;125 B201S;8;0;CALI;C;166810.4;0;Filtro
DAB02736025;025 DA2736;8;1;CALI;C;83255.92;10406.99;Filtro
DAB02780025;025 DA2780;8;2;CALI;C;178781.6;44695.4;Filtro
DAB02887025;025 DA2887;8;1;CALI;C;452836;56604.5;Filtro
DAB04609025;025 DA4609;8;1;CALI;C;8;1;Filtro
DAB08115025;025 DA8115;8;1;CALI;C;109382.72;13672.84;Filtro
DAB09086025;025 DA9086;8;2;CALI;C;235058.24;58764.56;Filtro
DAE04407025;025 DA4407;8;1;CALI;C;234715.28;29339.41;Filtro
DAP09046025;025 DA9046;8;2;CALI;C;75533.84;18883.46;Filtro
DAR02513025;025 DA2513;8;1;CALI;C;662803.84;82850.48;Filtro
DAR08183025;025 DA8183;8;2;CALI;C;262080.56;65520.14;Filtro
DAR09065025;025 DA9065;8;0;CALI;C;250115.44;0;Filtro
DAS07803025;025 DA7803;8;2;CALI;C;257256.56;64314.14;Filtro
DCE00390189;189 G390;8;1;CALI;C;64376.4;8047.05;Filtro
DCE00985189;189 G985;8;2;CALI;C;44316.72;11079.18;Filtro
DCS00242189;189 GS242;8;0;CALI;C;94311.04;0;Filtro
DLE00708189;189 G708;8;1;CALI;C;86080.4;10760.05;Filtro
DLS00052189;189 GS052;8;1;CALI;C;36688.8;4586.1;Filtro
DLS00241189;189 GS241;8;1;CALI;C;71058.4;8882.3;Filtro
DLS00296189;189 GS296;8;0;CALI;C;103018.88;0;Filtro
DLS00665189;189 GS665;8;1;CALI;C;179866.48;22483.31;Filtro
DRQCOOLV035;035 HIDROCOOLV - 1/4;8;0;CALI;C;31552.56;0;Aceite/Lubricante
DWS00303189;189 GS303;8;1;CALI;C;140152;17519;Filtro
BAP08046125;125 CA4702;7;1;CALI;C;981878.66;140268.38;Filtro
BCE00663125;125 PF7761;7;2;CALI;C;321818.07;91948.02;Filtro
BCS00485125;125 BF7956D;7;0;CALI;C;332141.88;0;Filtro
BCS00565125;125 BF7645;7;0;CALI;C;232953.14;0;Filtro
BHE10119125;125 PT207HD10;7;0;CALI;C;176093.19;0;Filtro
BLE00229125;125 P7093;7;1;CALI;C;461097.49;65871.07;Filtro
BLS00018125;125 B262;7;1;CALI;C;211403.43;30200.49;Filtro
BLS00102125;125 BT292;7;1;CALI;C;202056.19;28865.17;Filtro
BLS00241125;125 B7276;7;1;CALI;C;206577.7;29511.1;Filtro
BLS00419125;125 B7181;7;2;CALI;C;176638.7;50468.2;Filtro
DAB02640025;025 DA2640;7;2;CALI;C;200604.18;57315.48;Filtro
DAB02978025;025 DA2978;7;3;CALI;C;98361.41;42154.89;Filtro
DAB04978025;025 DA4978;7;1;CALI;C;86186.31;12312.33;Filtro
