sucursal_nombre,producto_marca,product_name,producto_code,clasificacion,stock_actual,inventario_ideal,producto_costo_unitario,semana,ano
BARRANQUILLA,DONSSON,DAB08190025,025 DA8190,A,56,51,22069.66,34,2025
BARRANQUILLA,BALDWIN,BCS00076125,125 BF941,A,62,50,22721.51,34,2025
BARRANQUILLA,AUT*PARTS,DLS00295189,189 GS295,A,52,47,15250.38,34,2025
BARRANQUILLA,AUT*PARTS,DCS00060189,189 GS060,A,132,70,5276.25,34,2025
BARRANQUILLA,DONSSON,DAB04869025,025 DA4869,A,28,44,12968.71,34,2025
BARRANQUILLA,DONSSON,DAR02142025,025 DA2142,A,45,47,33342.68,34,2025
BARRANQUILLA,BALDWIN,BCS00236125,125 BF1259,A,81,47,36729.7,34,2025
BARRANQUILLA,BALDWIN,BLS00205125,125 B495,A,44,44,39733.52,34,2025
BARRANQUILLA,DONSSON,DAB04738025,025 DA4738,A,47,47,9881.16,34,2025
BARRANQUILLA,BALDWIN,BLS00286125,125 BD7154,A,48,44,85727.47,34,2025
BARRANQUILLA,BALDWIN,BCS10208125,125 BF7587,A,32,42,44785.73,34,2025
BARRANQUILLA,BALDWIN,BHS00073125,125 BT28710,A,48,41,41647.8,34,2025
BARRANQUILLA,BALDWIN,BCE10471125,125 BF836,A,17,42,10026.43,34,2025
BARRANQUILLA,DONSSON,DAE04142025,025 DA4142,A,8,43,17875.14,34,2025
BARRANQUILLA,DONSSON,DAE08022025,025 DA8022,A,20,41,34343.3,34,2025
BARRANQUILLA,BALDWIN,BLS00136125,125 B205,A,61,42,55139.42,34,2025
BARRANQUILLA,BALDWIN,BLS00279125,125 B7131,A,45,42,28790.3,34,2025
BARRANQUILLA,DONSSON,DAP02020025,025 DA2020,A,12,40,25852.39,34,2025
BARRANQUILLA,BALDWIN,BLS00072125,125 B95,A,23,40,46866.06,34,2025
BARRANQUILLA,DONSSON,DAB04690025,025 DA4690,A,80,45,12683.06,34,2025
BARRANQUILLA,DONSSON,DAB08218025,025 DA8218,A,45,40,30018.69,34,2025
BARRANQUILLA,BALDWIN,BLS00189125,125 B179,A,46,38,17842.04,34,2025
BARRANQUILLA,BALDWIN,BLS00108125,125 BT216,A,60,43,31949.98,34,2025
BARRANQUILLA,DONSSON,DAB12852025,025 DA2852A,A,40,39,23425.45,34,2025
BARRANQUILLA,DONSSON,DAB02946025,025 DA2946,A,63,39,17678.37,34,2025
BARRANQUILLA,AUT*PARTS,DCE00662189,189 G662,A,51,45,4672.68,34,2025
BARRANQUILLA,DONSSON,DAB04926025,025 DA4926,A,44,37,19112.68,34,2025
BARRANQUILLA,BALDWIN,BCS00299125,125 BF940,A,37,42,16652.48,34,2025
BARRANQUILLA,BALDWIN,BCS00568125,125 BF9828D,A,28,38,44295.67,34,2025
BARRANQUILLA,BALDWIN,BCS00332125,125 BF7679D,A,38,38,36956.84,34,2025
BARRANQUILLA,DONSSON,DAE04066025,025 DA4066,A,67,40,13494.34,34,2025
BARRANQUILLA,DONSSON,DAB04881025,025 DA4881,A,36,36,16040.87,34,2025
BARRANQUILLA,DONSSON,DAP04020025,025 DA4020,A,37,38,7625.26,34,2025
BARRANQUILLA,BALDWIN,BCS00091125,125 BF954,A,41,36,20200.19,34,2025
BARRANQUILLA,DONSSON,DAE04524025,025 DA4524,A,40,36,19428.64,34,2025
BARRANQUILLA,BALDWIN,BHS00066125,125 BT83910,A,30,35,22646.74,34,2025
BARRANQUILLA,BALDWIN,BHS00167125,125 B7177,A,17,35,25761.77,34,2025
BARRANQUILLA,BALDWIN,BCS10161125,125 BF7629,A,1,37,28992.41,34,2025
BARRANQUILLA,BALDWIN,BCS00284125,125 BF1347,A,11,37,68174.73,34,2025
BARRANQUILLA,BALDWIN,BCS00082125,125 BF720,A,32,35,26542.4,34,2025
BARRANQUILLA,BALDWIN,BCS00450125,125 BF1399SP,A,32,35,62410.37,34,2025
BARRANQUILLA,BALDWIN,BCE00443125,125 BF840,A,37,35,9195.92,34,2025
BARRANQUILLA,DONSSON,DAB04946025,025 DA4946,A,44,36,10220.85,34,2025
BARRANQUILLA,AUT*PARTS,DLS00024189,189 GS024,A,42,39,8452.28,34,2025
BARRANQUILLA,DONSSON,DAE02246025,025 DA2246,A,6,36,22561.59,34,2025
BARRANQUILLA,DONSSON,DAB02957025,025 DA2957,A,43,35,34732.4,34,2025
BARRANQUILLA,DONSSON,DAE02983025,025 DA2983,A,27,32,10565.22,34,2025
